"","YEAR","RAIN","CLOUD","PREC","TEMP","VAP","WETDAY"
"1",1951,27.4,22.8449655172414,12.4580689655172,15.0068965517241,10.6634137931034,1.29725517241379
"2",1952,2.8,21.0674827586207,2.04651724137931,17.1774137931035,12.0083793103448,0.921331034482759
"3",1953,32.4,35.7449310344828,34.0628275862069,15.3014827586207,10.6783103448276,2.31607586206897
"4",1954,36.5,36.0587931034483,17.8771379310345,14.8854827586207,10.7443448275862,1.54523448275862
"5",1955,34.4,34.9093448275862,32.6804827586207,15.8535862068966,10.8550689655172,2.1037
"6",1956,21.5,33.5893793103448,24.7740689655172,16.1504827586207,11.2497586206897,1.8144
"7",1957,44.2,40.9839655172414,18.3270689655172,16.2329310344828,11.4056206896552,1.56881379310345
"8",1958,14.6,27.5666551724138,20.6148965517241,17.6575862068966,12.2228275862069,1.68085172413793
"9",1959,53.2,37.1282068965517,52.1380689655172,16.4326551724138,11.2644827586207,2.72252413793103
"10",1960,9.6,24.5884827586207,11.1224827586207,15.7903793103448,10.9836896551724,1.32863793103448
"11",1961,24.7,34.9443103448276,27.4303103448276,16.4437586206897,11.2583448275862,1.84849310344828
"12",1962,28.6,26.9959655172414,22.0293793103448,14.8316206896552,10.7643793103448,1.73735517241379
"13",1963,14.8,18.3964482758621,16.0571379310345,15.1270689655172,10.6449655172414,1.42041034482759
"14",1964,1.6,21.4815862068965,1.05641379310345,15.3872413793103,11.1424137931034,0.660768965517241
"15",1965,2.1,24.3374827586207,2.90372413793103,17.130724137931,12.0429655172414,1.01698275862069
"16",1966,13.5,19.814,8.68103448275862,16.6291034482759,10.8754137931034,1.32503103448276
"17",1967,2.1,18.9935517241379,1.97924137931034,15.4325862068966,11.2246206896552,0.931079310344828
"18",1968,28.8,36.7121379310345,27.5784482758621,14.9752413793103,10.7784137931034,2.09347931034483
"19",1969,2.8,20.2126206896552,7.55537931034483,15.9732413793103,11.2000344827586,1.14826551724138
"20",1970,31.3,29.0383793103448,29.2912413793103,16.3188965517241,11.2605172413793,1.88930344827586
"21",1971,15.7,26.090275862069,13.4258965517241,15.3959310344828,11.2578620689655,1.30300344827586
"22",1972,9.7,21.7278275862069,17.9405172413793,15.8945517241379,11.2195862068966,1.58372068965517
"23",1973,11.7,28.526724137931,16.1734482758621,16.3372413793103,11.628,1.44752068965517
"24",1974,0.5,21.3055172413793,4.30175862068965,15.2865862068966,11.0971034482759,0.93728275862069
"25",1975,13.5,31.2384482758621,19.0265172413793,15.3014482758621,10.588724137931,1.5633275862069
"26",1976,6.1,25.8043793103448,23.601275862069,16.2066206896552,11.7124482758621,1.79974482758621
"27",1977,10.3,25.7344827586207,19.7304482758621,15.533724137931,11.5450344827586,1.55876206896552
"28",1978,27.9,28.0253448275862,20.3014137931035,15.2578965517241,11.1070344827586,1.66969310344828
"29",1979,27.6,31.996275862069,21.7568275862069,16.8581724137931,11.9220344827586,1.72958275862069
"30",1980,3,29.2872068965517,1.69903448275862,16.1621724137931,11.2971724137931,0.780820689655172
"31",1981,19.6,33.6220344827586,18.3373793103448,15.9531724137931,11.2836551724138,1.6101275862069
"32",1982,34.7,28.6151379310345,51.0046551724138,17.0821034482759,11.6998275862069,2.80939310344828
"33",1983,20,27.8100344827586,13.4532068965517,14.9204482758621,10.8818620689655,1.41834482758621
"34",1984,24,26.8447931034483,28.165275862069,15.893724137931,11.2335517241379,1.99728965517241
"35",1985,20.8,29.7038965517241,16.4068275862069,16.2959310344828,11.0562413793103,1.51664137931034
"36",1986,7.1,26.317724137931,13.1248965517241,16.1925172413793,11.2624137931034,1.24246896551724
"37",1987,11.1,24.5087586206897,16.6428275862069,15.6451034482759,11.1515172413793,1.47155172413793
"38",1988,2.3,28.1916896551724,9.59651724137931,16.9994137931035,11.9983103448276,1.17593793103448
"39",1989,14.5,29.294724137931,9.77693103448276,15.081275862069,10.8518620689655,1.31152413793103
"40",1990,0,26.3087931034483,0.12351724137931,17.4599655172414,12.2653793103448,0.123379310344828
"41",1991,8.6,26.7181724137931,10.7844482758621,15.586,11.0709310344828,1.40469310344828
"42",1992,9,26.7298620689655,25.2654482758621,16.0706206896552,11.1298275862069,1.88812413793103
"43",1993,1.7,26.7298620689655,10.6046206896552,16.4618965517241,11.7722068965517,1.17711379310345
"44",1994,22.2,26.7298620689655,48.0540344827586,17.3556896551724,12.0908275862069,2.5448724137931
"45",1995,19.2,26.7298620689655,28.9271379310345,15.019275862069,10.7209310344828,2.09405517241379
"46",1996,55.6,17.7813793103448,33.4806551724138,16.4748620689655,11.3229310344828,2.11230344827586
"47",1997,6,23.5488275862069,12.3846896551724,15.6441379310345,11.2478620689655,1.42370344827586
"48",1998,9.5,26.3487931034483,1.50275862068966,14.4846551724138,10.4889655172414,0.707044827586207
"49",1999,8.7,24.281724137931,33.247275862069,15.7475517241379,11.1497586206897,2.08808275862069
"50",2000,2.6,22.3529310344828,11.8528965517241,16.5550344827586,12.1755517241379,1.02602068965517
"51",2001,2.6,24.1188620689655,4.36075862068965,15.778,11.4075172413793,1.01258620689655
"52",2002,21.4,25.5093103448276,20.3915172413793,16.4179655172414,11.881275862069,1.91928965517241
